,ndev,entrophy,lt,age,ns,nuc,ld,sexp,nd,exp,fix,la
0,0.011748849748153944,0.3841177345995266,0.024035834399063993,0.3831990902086592,0.04650325715746239,0.2051834920266434,0.02409352709104105,0.14115642594156985,0.30890011480579754,0.17103433708898325,0.035153072069783804,0.029159355108784177
1,0.050925255862686696,0.44547690085238845,0.06089043956019291,0.3557028647759717,0.11040018165149952,0.3222834801095625,0.019345970664144483,0.13529958209517792,0.3131807875251843,0.05446306596732819,0.1308578339188411,0.07948372352574956
2,0.025156290202780835,0.3463316169017223,0.062429929025943125,0.4087276124647199,0.15464698835821064,0.44026323444015747,0.029463948863410343,0.16836291144231585,0.18789717897298722,0.12457346505281552,0.13089120492832296,0.09403606712610252
3,0.0,0.0,0.2493924795093731,0.0,0.0,0.1392794163916638,0.0,0.0,0.0,0.2938827815815071,0.0,0.0
4,0.004544445567358865,0.2665173587131527,0.027808681781464707,0.20519845308462906,0.06530325002333572,0.304401986847477,0.008902206535552716,0.11819822520243334,0.3028344923502703,0.07177730474962093,0.020111260248672456,0.0734120350715398
5,0.1393181841630035,0.0,0.14652723998073353,0.0,0.07292976980329148,0.5688524071270135,0.0,0.08290393356326367,0.11904450622778122,0.10476927575010289,0.2088963830212419,0.2035102898080779
6,0.24048314121022038,0.0071088271258846975,0.3109649804080351,0.0624074729980236,0.019485523148454687,0.28129365653805105,0.00613653538997617,0.16853342429501847,0.11643001695757389,0.5927864612030891,0.07635944247620327,0.029238064298716285
7,0.002540285569657238,0.2513555156749136,0.01189772629828361,0.2349197540149866,0.005480254043413043,0.24109155050992742,0.026654806415896275,0.0020752069511498867,0.35751105384698834,0.3093317758102594,0.055625643215876715,0.07822417947778759
8,0.08645258889666475,0.10402962228725318,0.10228518299052225,0.31361290301622075,0.0,0.3511280505314513,0.0,0.06990101867899011,0.14736135994543986,0.331850138845481,0.0768811234442882,0.0
9,0.27983477557296504,0.14048162485018362,0.17234431371547432,0.1505660225372665,0.20364830011166846,0.42899862131655836,0.009579908290595286,0.05383407745986861,0.3918171174253512,0.1726509406627357,0.3764709702018177,0.02230297934907068
10,0.1500015753492113,0.2628445303258136,0.36190600305482495,0.2841626245277625,0.19634797273916108,0.266937074736981,0.005548911827601266,0.034605881636127635,0.3571886199410893,0.1079145011020091,0.08431942214551127,0.01766928303404811
11,0.13135244011966887,0.26336412372310736,0.21565667321139928,0.32008170632521893,0.050716601813270146,0.3502028309354032,0.02557603925360659,0.057115681938994994,0.23199135808008647,0.3165284630867513,0.021884739595783437,0.18524395014021452
12,0.13387837994219767,0.1633498906054898,0.0454811554068187,0.2328287373948982,0.01273518856248847,0.2908493300545753,0.024137087411415084,0.0921291572598129,0.2600320216805052,0.47488267704936615,0.13621215366388098,0.08845515752757196
13,0.12447316532105276,0.20769831446345877,0.058373360533943125,0.3647976300515707,0.005454684325276689,0.2653570646832901,0.03708265553758165,0.11923729823240381,0.22418100193178064,0.3459427991032689,0.21676806690326633,0.09052248770568713
14,0.1669088934362744,0.25269575575126246,0.3437568960838851,0.3552825359129436,0.012077932272874478,0.2901265649698827,0.046079938906005105,0.15174960517100006,0.19029412055510644,0.3409456176502394,0.33055439563357486,0.08113284414262528
15,0.04805782046348875,0.25321127069609156,0.2710300794716893,0.2908632632422843,0.0,0.3240670556369257,0.0058375705771485,0.14850080739753987,0.20315423913315642,0.371460552721766,0.4132251511776776,0.045009073429250666
16,0.055952435080228104,0.1142113885195389,0.06432617486934966,0.23267236218046633,0.019384412319073556,0.26025253830752043,0.027280033381362444,0.17867903594027773,0.23027786665782046,0.280141675548528,0.3929891519082797,0.048062150503515984
17,0.05922371213918031,0.14399150246721978,0.06494531382243066,0.3594404195508066,0.00657092000755334,0.2610549747211716,0.006578904025001728,0.10839744078235765,0.20030584335767446,0.05119481019949877,0.19618398562129555,0.030861287945106678
18,0.08414626131273985,0.0343341574865326,0.10816171915016172,0.39237007401050916,0.0,0.2288008285681319,0.0,0.13292873726299195,0.13648027552552303,0.06709502621595068,0.23630847292754456,0.012135186773037768
19,0.11227361696909337,0.0,0.0,0.30324672134575853,0.0,0.13437945220763042,0.0,0.0,0.05202772566999134,0.20254198863647932,0.0,0.0
20,0.11525033352921353,0.09524622032447515,0.06256632594551455,0.3447465839709051,0.011790467532324747,0.10265670417387758,0.013931319682127513,0.0040084754745195956,0.10204300857884015,0.051501400843813064,0.14375981571960536,0.06678605680447611
21,0.021403414836023378,0.20401803344290437,0.011184362432582667,0.29957315817399705,0.0,0.11549899127804344,0.002535564159507439,0.06649349923386981,0.27087911311791363,0.08502744921596614,0.20317168098740082,0.035323362255202065
22,0.0925355114422538,0.12919418500323712,0.00981088896435658,0.21491516084322398,0.0001773492982908007,0.20603235710259102,0.0074275843575908156,0.09073879173323689,0.2788053166078478,0.051338885340722486,0.2477660620527638,0.0192706771218753
23,0.007358480618215484,0.0,0.0,0.23893065074232503,0.0,0.3518743968835859,0.006406274617379289,0.11581136708086867,0.19496217965757795,0.19491875278011572,0.18738676404981963,0.019255113603748805
24,0.006578783271358175,0.0,0.0,0.21140585145124172,0.0,0.24710345789262692,0.0014081937312898554,0.07778297068550669,0.19313074991606322,0.16715047111042877,0.15264980582889395,0.035998598423634426
25,0.07700105665510343,0.004784718465323454,0.01338003082555916,0.23976797894884025,0.03528204992357631,0.07642818368921989,0.010102822708685892,0.028922190810843382,0.2700511244253269,0.2233190671483866,0.1768033418417866,0.026498350333997462
