,ndev,entrophy,lt,age,ns,nuc,ld,nd,fix,rexp,la
0,0.0,0.0,0.0337400405791513,0.10860067382163022,0.0,0.0,0.0,0.28621121539087496,0.0,0.8338782454953866,0.0
1,0.0,0.0,0.0,0.23490160166491228,0.0,0.12948665343744434,0.0,0.15741892228334264,0.0,0.6611690984687714,0.0
2,0.0,0.0,0.0,0.15293690290646708,0.0,0.2431307110158686,0.0,0.15992375644689105,0.0,0.8886112978392281,0.0
3,0.2921091960241822,0.04623362994264553,0.2396334801381403,0.22932341946241905,0.0,0.0229094340521779,0.011410680226666593,0.1349951911997373,0.1385131632036556,0.26503279158829607,0.02470464270205213
4,0.2077544163985576,0.14852306719280697,0.24711256791239045,0.2678124460624974,0.0,0.022069835037400048,0.0018977181193127624,0.06570490139623947,0.17806167005518556,0.21717626571141377,0.11684798814274065
5,0.10037003498635091,0.22900109309715186,0.36903997632349006,0.3663091747973053,0.0,0.07605509630436709,0.0605157745404141,0.13946310340636187,0.13480767710535865,0.4082211131566489,0.11471808553054069
6,0.03825719097307878,0.06828331743090912,0.29880478108441394,0.3161530884146763,0.0,0.15647952125830988,0.06127871826787604,0.24987805212156972,0.2592718699502857,0.32779470870245786,0.1409175089278733
7,0.0844560800125621,0.0281435755769224,0.05480081271216588,0.24622501432621421,0.02025584061761972,0.2144291160731453,0.06266781434877337,0.33267451716462776,0.40005879430731933,0.12997072540293278,0.05675866919723858
8,0.0,0.048332072548380504,0.045235247268369895,0.23987722566416483,0.05272970126401429,0.19913874447840813,0.016609036135880436,0.28439252027064876,0.5185557553711733,0.15676585929045475,0.09209450656479512
9,0.13791930289071172,0.0,0.13880009208400973,0.17883041029693325,0.0,0.011738951550544439,0.03951596904649563,0.15355005948293238,0.48123483009652374,0.14867040061529585,0.14978728744377381
10,0.12196379235836997,0.0,0.10559440374183263,0.26056974704721964,0.0,0.051832410646884736,0.0,0.22110153738836602,0.3092058204786823,0.019791050529104463,0.08341639942208087
11,0.19042454520801105,0.1508775641995904,0.04316683675762081,0.20298849181654058,0.0,0.14810510176404992,0.04980053105394055,0.27782846230961133,0.3444501410950058,0.0,0.0869043880291313
12,0.26959864867491595,0.31221635945725684,0.12154154615654524,0.12625455040746406,0.0,0.3276934306999743,0.15034509910610916,0.41205509301217735,0.4316178673740177,0.04980901670908042,0.1630565032588018
