,ndev,entrophy,lt,age,ns,nuc,ld,exp,fix,la
0,0.0,0.0,0.04431637707977744,0.0,0.0,0.12307014363616431,0.0,0.07787909634081372,0.03187662205838604,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016231400813436044,0.0,0.0
2,0.0,0.0,0.03608505527147213,0.0,0.0,0.0,0.0,0.12191939028906885,0.6209532135194564,0.0
3,1.0402081083533135,0.4177397309321051,0.14659197331689258,0.20333292339742542,0.0,0.48565151145599694,0.0,0.8442497440985776,0.0,0.3160824153136906
4,0.4168285875441586,0.8474040881694248,0.0,0.0,0.0,0.3509011704886451,0.0,0.0,0.8731024210559254,0.0
5,0.0,0.4953678924228413,0.0,0.0,0.0,0.1327979377276026,0.0,0.8441728251356974,1.432967900066181,0.0
6,0.0,0.0,0.10084411424995947,0.0,0.0,0.44111633856930604,0.0,0.10225222760205481,0.0,0.0
7,0.0,0.28931551975760156,0.05148389082267254,0.0,0.0,0.3625692448357492,0.0,0.1871271814245417,0.22805019577801403,0.0
8,0.6447065049130517,0.577284876864936,0.6177891220563155,0.0,0.0,0.21081565485828732,0.0,0.18650873219952563,0.6945873163152766,0.0
9,0.24067693698003206,0.36008821191525253,0.3165523035185298,0.038235746624698426,0.0,0.11296826787596709,0.0,0.1800404351136039,0.6859501046521651,0.09373844752160711
10,0.06963203417508941,0.24576376858192517,0.21067082158154757,0.021343725802932048,0.004154289153775549,0.25706378085258563,0.0036579132259808855,0.3479722604852598,0.5303748882252401,0.09690816885130474
11,0.04100696521512066,0.10607116406930256,0.05836029891378336,0.00838940102063634,0.0018901281084194553,0.019665728733125845,0.00013258848001157148,0.3641315802159895,0.3326891887862096,0.0004952626406338509
12,0.0,0.2557177198112275,0.02514145646886133,0.0,0.0,0.1542184027210796,0.0,0.06709476707466598,0.0,0.0
13,0.025489368972624396,0.5029648165078247,0.5188450748990916,0.08872618161910323,0.0,0.26476133526592405,0.0,0.19350536764580836,0.06711513720641012,0.8463045335662007
14,0.8051180912635258,0.6032760975605392,0.044124625129485236,0.0,0.0,0.5240891431358513,0.0,0.11548220517093995,0.5732693962923304,0.16392178151832568
15,0.04315105811807963,0.3825943689490999,0.1095793497772461,0.11207775027151048,0.0,0.7562964340656404,0.0,0.09005429214627358,0.2885503537054387,0.0
16,0.06956674714272064,0.7761410045527061,0.06647362117769826,0.0,0.0,0.03862537196946679,0.0,0.4199218052413156,0.5765855151491708,0.012275602335759401
17,0.2541482043608214,0.0,0.1543898347426036,0.0,0.0,0.1510985217329386,0.0,0.4204742796359697,0.4183863553360102,0.0218250976365897
