,ndev,nuc,lt,age,ns,ld,sexp,nd,fix,rexp,la
0,0.10564946724598441,0.9949033324297002,0.41552479721758495,0.051137700603577856,0.09346189777903628,0.11269208418744257,0.38483963861914205,0.2234686209928427,0.007734826948431392,0.01873281978248348,1.2325709531469518
1,0.22020802699547998,0.5432737159676095,0.029370258966432788,0.15985678986521784,0.0,0.12902503903866705,0.29739619132719897,0.17352247271824103,0.21440026341014687,0.11535366277098524,0.9317248516749409
2,0.13659067279281528,0.999860100941826,0.14507804747394176,0.21748576741815012,0.09532025277778149,0.06621595298843297,0.3445851757060229,0.48349949637495254,0.367985316686663,0.0,1.436445129378427
3,0.22308793670884625,0.16758041795831644,0.2655133975875414,0.12635875882741657,0.251170310152944,0.10739540534541307,0.016284256770208873,0.420398449065078,0.014637395064033965,0.08566448354131163,0.9725140470048836
4,0.0,0.0,0.1996486296374123,0.0,0.0,0.004024748556326648,0.08498817352594716,0.0,0.0,0.06898867362661139,0.6567834515887225
5,0.03207010403387971,0.0,0.17818051880637256,0.1473343712025563,0.009478381995181294,0.11538128233088027,0.060227244029316646,0.10207792997046433,0.10700276038171992,0.0,0.9435281061854291
6,0.16575259777615278,0.46748100939471726,0.3699210407073695,0.20937638126537692,0.12695224831969656,0.11805003095819382,0.015761312879103845,0.2965995836875113,0.3227989816002815,0.10328989457492882,1.3312251511839555
7,0.09610457633993712,0.1130420452731297,0.08145285120690467,0.15782718020127434,0.13566783228413734,0.11176606006676386,0.02375044913877934,0.1406493568773618,0.2919323418277281,0.07983436967496779,1.020035220072802
8,0.1225397598523052,0.22670513271524353,0.07636165626331692,0.41985087126340304,0.1411068663250835,0.03972039780703169,0.08725792148669331,0.4267876955230781,0.27042523820081976,0.027912000776454143,0.9489601174911629
9,0.11799829464158898,0.006098695423656735,0.020962523475837005,0.4822882318700545,0.0,0.007355173715686968,0.16613384256424013,0.1137884322723089,0.19669694620952313,0.04917178848415121,0.7587408851644315
10,0.001121389522342538,0.3258396314653739,0.13961877391912153,0.1325364270672626,0.00986635996648195,0.008235008010929062,0.23187219269209236,0.05177661582157747,0.404662947968089,0.028917992978496416,0.817725570137582
11,0.0,0.13115218891395192,0.0,0.026412961953034584,0.05465345546138939,0.0,0.016960560120094986,0.0,0.07273681620040816,0.06366077909657046,0.7637735824608537
12,0.036469102819319574,0.15868985612297812,0.19343385202281838,0.1895614768817303,0.19253943093318476,0.08875753784453459,0.3879241044419168,0.0006990537060683686,0.10841854124233118,0.028332624526196167,1.234346825701739
13,0.09533467864204537,0.2596223488486446,0.20972916425293672,0.12315695015126783,0.08298027581017815,0.30634684442354154,0.29626574062653915,0.08461557075214621,0.18283811916803186,0.0030448453589950273,1.2545925122557562
14,0.023431992083996416,0.02866595189857669,0.09761406082082051,0.019795156232791183,0.006215135956394376,0.45961318170300125,0.05819474613797411,0.12243040855284798,0.23910779126682694,0.03852624236031763,1.0909081024928873
15,0.11255841560735128,0.024984563374056707,0.057346715386484275,0.043226775857079104,0.05743424562166759,0.29209748992171736,0.08082536784033265,0.022905549251223418,0.3625886139352395,0.11367873017724128,0.9619577118692889
16,0.2828972020138313,0.14116634733405006,0.1811155025276293,0.16943337871038597,0.044687064660312865,0.29650463680759315,0.23812834739317246,0.16327904016758518,0.2767147676649183,0.16291020724909303,0.959954999941288
17,0.17608851875133782,0.2064391182020495,0.05207998020647267,0.23353080391031744,0.0938304562926201,0.2565674141701448,0.003073538463182135,0.03743869876732392,0.11133321045228366,0.011467764338527826,0.6994830217252719
18,0.01118687246277217,0.34676209737404395,0.10688281208919667,0.23929464373905154,0.1946338808510222,0.22395848310629451,0.3175584012400593,0.1651300830335238,0.0,0.055872384630597856,1.3209854192057588
19,0.034437550087867384,0.030721293488803505,0.07048068657950442,0.028188121661865528,0.07733989371463128,0.24480751226009786,0.15359814588743,0.056173217572637595,0.05418795059234699,0.04676497544859667,1.3327886829834326
20,0.11103212574658763,0.16065722632231788,0.09672840000580726,0.005556967122014171,0.06755643205574637,0.2085434956810114,0.036363756278391536,0.13705240365686067,0.15313832438464065,0.05153365219080576,1.203046659021811
21,0.19485661362283802,0.5894081926556475,0.5671593582147225,0.005379290979502902,0.1854737493961286,0.14391049677540074,0.16660623761578147,0.4007040826578612,0.12010372803158652,0.3216049596436195,1.276351417195244
22,0.1465127930190616,0.32484294323314683,0.36571126008419413,0.32261231549929237,0.07666536836347218,0.0905824412476024,0.13735970371281153,0.19707262562972505,0.3982683673144762,0.4904015656698009,1.1290661084628513
23,0.14779423050336266,0.341086518520956,0.14389396742280128,0.3391889773368201,0.04378335320093271,0.09211357570591155,0.17577596940761128,0.28425340461922266,0.16512582919897623,0.07483349968327098,1.0495590913413781
