,rexp,entrophy,lt,nuc,exp,ns,fix,ld,ndev,la
0,0.27845171091415916,0.14406957656847835,0.10951314943057551,0.6953307828782834,1.2400986738329973,0.6219685348243463,1.0043412495748005,0.11662892294892459,1.235433486940568,0.7406531215445534
1,0.00307161188258005,0.32709253470796074,0.10630949434285232,0.06779596662879075,0.1910663956233228,0.0202415051282268,0.03981996610559338,0.08560899086545608,0.08922517578901994,0.7571128371174226
2,0.0,0.009537063559434459,0.1231520774434624,0.020840698124336764,0.060117617801343504,0.0,0.1367629946144266,0.06243290657996471,0.0,1.0032280466538932
3,0.0074017794333473275,0.0,0.0,0.37578694540986785,0.20123047882310258,0.8177226784797851,0.2572519376739319,0.11935483391315366,0.4711968862981324,1.2499177884172317
4,0.08502698800319788,0.18595344224618743,0.11736624846095224,0.2901728175828673,0.14413487545907686,0.5197152162798925,0.3217467534384914,0.015365084871250408,0.40843899268076095,1.054516691092286
5,0.10399142986408152,0.1057195312052678,0.5025663309807985,0.23496346191556888,0.08703471739448555,0.45623368504902956,0.239863078315972,0.16535599653856156,0.1371006333187061,0.966122178850376
6,0.28042883761292575,0.0,0.21682994694732097,0.38450073021463804,0.14743299778741104,0.14348942114325197,0.0,0.07353921911046567,0.0,0.42801944929116825
7,0.12199120842348629,0.09435905829787779,0.20999092689717416,0.0,0.0897248781064939,0.0,0.0,0.0956912088334796,0.0,0.2915371589689296
8,0.0020481403501085224,0.1492882141820132,0.5696429028913781,0.08066183204427722,0.10387715998535628,0.11357965541609694,0.019673164455201668,0.029590326757924314,0.022948917557821653,0.566294276706647
9,0.5443035588216669,0.12748805007176608,0.7526425334175398,0.08969732424615125,0.6679246882164516,0.0,0.18625861308407327,0.20317911624725069,0.0,0.6274963633140952
10,0.08205819646422391,0.05990936352226834,0.2647181301554514,0.0023873779107567144,0.04693375219229338,0.06100027712547524,0.10610998022942582,0.3271962379911708,0.35001110691357495,0.8096862995328309
11,0.22227105963866664,0.02235031716106982,0.6791202857014643,0.09686391492871912,0.027606933835577552,0.051858219314593265,0.08547715283499249,0.3810629300101163,0.5819966398565892,1.2174570349629092
12,0.0,0.21426846751898845,0.7378518526200104,0.0,0.1774843248842532,0.0,0.0,0.0,0.6668226941513028,0.8863903256521295
13,0.05305585451435491,0.2637338810347761,0.7294028115575018,0.11721629044670574,0.04503214952490181,0.16215759259938262,0.05473007406838585,0.09699850401287385,0.4024246188954088,0.28207519269792175
14,0.1546362824419986,0.07833520743468135,0.4485701058653121,0.08157137484126441,0.07343972390628503,0.14348620862565697,0.16603516564982745,0.12309307233369275,0.09044614137907679,0.5851712884435478
15,0.0643631931540328,0.08429869165381705,0.5130285404582136,0.4151066655055037,0.3163144636857237,0.0,0.35334450453356847,0.047227575477978664,0.03550865073114995,0.6106526538343074
16,0.14934682876869929,0.2787028328115075,0.6741548788808469,0.2362672891788305,0.30114207947070204,0.32452815157143666,0.2623272102098299,0.06098570307628041,0.07080488188517005,0.4549447528407841
17,0.0,1.0057283341045142,0.7267670168644628,0.5576119636647063,0.08970031379111681,0.10490618261232916,0.17840271703930893,0.09107667868190884,0.0,1.079475625033494
18,0.13818532058608407,0.45757478570935256,0.6163270264172649,0.10931123917882632,0.02228366252089084,0.0,0.03487980931454101,0.26180562379963523,0.023017837891301147,0.8413371941303117
19,0.1398570585810236,0.02589676228911404,0.41050287467163177,0.13706411913607666,0.06331918151810283,1.568390848292043e-17,0.15217224675805308,0.08260743553453852,0.20823051614953214,0.5706117714844336
20,0.12472136029751876,0.03726371735501273,0.2771818194777816,0.10318170586030595,0.10921660077400956,0.013363482927766407,0.3336813099308308,0.04336180626218461,0.10080433222337776,0.5569351247764179
21,0.10804213833556385,0.368500347185339,0.4227577546348613,0.17571435679982073,0.18928601503160747,0.0,0.3868620027373273,0.3163280050852856,0.15172514305813284,0.6396191392522783
22,0.0005312103659251319,0.21194407169513943,0.022562314445218397,0.01277181536772166,0.0,0.0,0.055419192328185894,0.0,0.1511170570814279,0.765671995448906
23,0.6775958296930936,0.0,0.5120688111178464,0.4290821281717717,0.11075873437113523,0.0,0.2717492216913866,0.016556436182217825,0.9994758882577265,1.1800255643641933
24,0.0,0.3825688574064228,0.041839224485560246,0.6693990527638267,0.1443231479354047,0.0,0.07736703002525312,0.41652701410540277,0.4676638754310438,1.3158274329537276
25,0.08780158338862881,0.0,0.0,0.0,0.08097249099983489,0.0,0.0,0.0853873250213079,0.0,0.48263333467253694
26,0.17590216942381237,0.4130918588195581,0.42411452102258773,0.47120056652464987,0.32323107653726413,0.0,0.05817205871193699,0.036278604379161326,0.029846994697161938,1.0886602176868458
27,0.2138715373092593,0.18014228275434033,0.08580726642719866,0.14070054742074942,0.008963161565956019,0.029332035217303112,0.20519206429830544,0.2835482167078415,0.09685305024727145,0.8232043158544133
28,0.12411478364920044,0.5010365001380689,0.6155469509485085,0.2622752828612303,0.23064442496016893,0.03290576729278549,0.4038050836127795,0.07379950447038884,0.13484212840950477,0.8555414263088059
29,0.23608093900143912,0.4493504231843824,0.5333391982171838,0.17796914982385817,0.17234302101732082,0.036621928742911994,0.2582687605449519,0.24783189703017736,0.10555354172142267,0.7998432936412946
