,ndev,entrophy,lt,age,ns,nuc,ld,nd,exp,fix,la
0,0.4383700326708382,0.25354608425585373,0.10020849652493653,0.2325908656623318,0.01806916523974362,0.2532480784514969,0.005487852069498523,0.49151935021294596,0.15860983788945754,0.12941614780482583,0.08987875356722262
1,0.41027139229268006,0.04071705502344351,0.533357980247158,0.03946097467901059,0.027055203576941262,0.460224086584628,0.054064568167748774,0.38432476827996276,0.4417116659980796,0.3497070441832905,0.1040778843428047
2,0.011458870729726803,0.1784012994418505,0.2927508845804487,0.09827181060994336,0.04286983924748247,0.024174757901318247,0.16863459787571175,0.21460737843961455,0.06675877043973545,0.028292623716203707,0.13208311939083692
3,0.03323060881497251,0.248364957942976,0.06622842844538744,0.07662093141116902,0.029102993766989334,0.04034833107298891,0.048170139971395014,0.09710072099018797,0.10223602757492094,0.092410922175665,0.08657417806755159
4,0.19088993252835026,0.3782895345740786,0.23427778299770968,0.029580954991405405,0.033141119382669296,0.03077436345011097,0.12166626551169753,0.005414297632206005,0.03390344440379458,0.17674513603242298,0.08386600006039605
5,0.00011629987960858334,0.19046472821347302,0.4846169864718288,0.16609516565240398,0.017074113894621344,0.07725051359299291,0.12535933068658428,0.02594326753202105,0.03166047144930099,0.20163242827851724,0.0056357358504908524
6,0.013644379002320503,0.03422391731198028,0.5494068555706549,0.1275497365257006,0.08490944313825799,0.04142180028463937,0.1810753563380828,0.18483787276001593,0.18496248532761012,0.03567210101975594,0.08860339615368668
7,0.040447271238999966,0.1069692667991748,0.31389321474984094,0.086814661734244,0.07509214321555195,0.09193749778126308,0.07812087425437014,0.2139083305039389,0.13943344063957883,0.32096308799184287,0.05261138099020726
8,0.08095920935286215,0.016076353207128764,0.2994948083390722,0.032201166255891624,0.08693448254355725,0.01220210456267397,0.08138995469223272,0.24020417422578033,0.02049806985912144,0.5678162936058949,0.09658664136127926
9,0.09958414798579682,0.005706330833670733,0.44528820161769245,0.0804844520772783,0.03168656106438913,0.0487154946061341,0.07485119265995402,0.2561651037915153,0.02636622142971322,0.5415263633681823,0.10802334791549056
10,0.15345578006193458,0.0402892743701857,0.41823105789610254,0.1625896303574139,0.0012495471661822324,0.1219249742759628,0.014494519458208803,0.1433222095103261,0.07127149651128589,0.23231326733116098,0.0515731147566317
11,0.1317268937430959,0.04970108830362118,0.5173482057942419,0.22342582140043277,0.00728388019757914,0.09722992635146616,0.02369893252394691,0.11546271863964809,0.02494533747533568,0.20952004835478044,0.11001838765747116
12,0.19405937969078646,0.05761872967821131,0.4440018544167017,0.18420925128902568,0.0,0.009735105993764726,0.04085758774323061,0.11348587764040491,0.026116378144229836,0.20983240505688433,0.1078532651880924
13,0.13867640836130934,0.08107888972438637,0.4524297085664974,0.07487509054464683,0.008275188501384374,0.010485694077581462,0.027741326588681735,0.01681013945895994,0.13155517648397158,0.1980524347492948,0.1040494811525024
14,0.09983772716735957,0.2453638871089976,0.24421925502771097,0.06880496533885624,0.006569697725800813,0.22881339378624446,0.02207318523639765,0.062075445812380003,0.3181306306184764,0.19082022102592752,0.05782623634808017
15,0.1450873075972864,0.19464158755637845,0.26404279739875797,0.25575691990056376,0.04188191874405449,0.21073265879354977,0.1317401974099466,0.21676920389560708,0.10434538433849812,0.43249582592639574,0.0
