,la,nuc,fix,lt,age,ld,ns,ndev,entrophy,exp
0,0.005555555555555558,-0.0666666666666667,-0.0388888888888889,0.049999999999999975,0.005555555555555558,0.005555555555555558,0.0,0.0,-0.0388888888888889,-0.1055555555555556
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02285714285714282
3,0.0052631578947368585,0.05263157894736843,0.0,0.0,1.1102230246251566e-17,0.0,0.0,-0.047368421052631574,0.06315789473684211,0.026315789473684226
4,0.0,0.0,-0.0076923076923076875,0.0,0.0,0.0,0.0,-0.0038461538461538438,0.01923076923076924,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.021621621621621644,0.032432432432432455,0.010810810810810857,0.0,0.0,0.0,0.027027027027027063,0.016216216216216252,0.027027027027027063
7,0.0,0.09333333333333341,0.040000000000000056,0.0,0.040000000000000056,0.0,0.0,-0.01333333333333333,0.053333333333333385,0.026666666666666707
8,0.0,0.010309278350515427,0.018556701030927814,-0.012371134020618579,0.0,0.0,0.0,-0.043298969072164975,0.022680412371133975,0.016494845360824704
9,0.02622950819672134,-0.022950819672131174,0.01803278688524592,-0.0016393442622950837,0.016393442622950838,0.0,0.0,-0.01803278688524592,0.04918032786885249,-0.021311475409836068
10,-0.014285714285714301,-0.07619047619047618,0.01666666666666663,-0.011904761904761928,0.0,-0.009523809523809578,0.0,-0.007142857142857184,-0.01904761904761907,0.0023809523809523725
11,0.0,0.01666666666666663,0.05833333333333335,-0.016666666666666673,0.011111111111111117,0.0,-0.002777777777777768,0.005555555555555558,0.061111111111111116,-0.025
12,0.0,0.05128205128205125,0.0,-0.007692307692307732,0.0,0.0,0.0,0.0,0.10256410256410256,-0.05897435897435901
13,0.0,-0.01428571428571428,0.0,-0.03265306122448981,0.0,0.0,0.0,0.0,0.024489795918367353,-0.006122448979591843
14,-0.012820512820512808,-0.028205128205128216,0.0564102564102564,-0.012820512820512808,0.0,0.0,0.0,-0.0435897435897436,0.02307692307692307,-0.01282051282051283
15,0.0,-0.022222222222222275,-0.00833333333333337,-0.01666666666666672,0.002777777777777768,0.0,-0.00277777777777779,-0.01111111111111115,0.002777777777777746,-0.022222222222222254
16,0.0,0.0,-0.0034482758620689724,0.0,0.0,0.0,0.0,0.0,-0.017241379310344862,-0.02758620689655176
17,0.0,0.0,-0.0125,0.0,0.0,0.0,0.0,-0.0125,0.0,-0.0125
18,0.06666666666666668,-0.033333333333333326,-0.033333333333333326,-0.033333333333333326,0.0,0.0,0.0,0.0,-0.033333333333333326,1.1102230246251566e-17
19,0.0,1.1102230246251566e-17,0.0,2.2204460492503132e-17,0.0,0.0,0.0,-0.016666666666666653,0.0,-0.2
