,la,fix,nuc,lt,age,ld,ns,nd,rexp,ndev,entrophy
0,0.0,0.0,0.0,0.0006276150627615662,0.0,0.0,0.0,0.0014644351464435878,0.0006276150627615662,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001710863986313038,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036866359447000895,0.0005529953917050356,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005808325266214887,0.0,0.0
4,0.0009958506224066355,0.0006639004149377569,0.0,0.0013278008298755139,0.0004979253112033178,0.0,0.0,-0.00016597510373443923,0.0008298755186721962,-0.0011618257261410748,-0.0006639004149377569
5,-0.0007751937984495693,-0.0006459948320413078,0.00038759689922482907,-0.0009043927648578309,-0.002196382428940513,-0.0002583979328165009,0.0,-0.0020671834625322514,-0.0018087855297157286,-0.00129198966408266,-0.00633074935400515
6,0.0013729977116704983,2.2204460492503132e-17,-0.0010983981693363676,2.2204460492503132e-17,9.153318077805838e-05,-0.0016475972540045624,0.0,0.0015560640732265485,0.0014645308924485345,-0.00018306636155607237,-0.0016475972540045403
7,0.0007911392405063556,0.0026898734177215554,0.003322784810126578,0.000870253164557,0.0010284810126582667,0.00015822784810128887,0.0010284810126582667,0.011234177215189888,0.0015031645569620667,0.00031645569620255556,0.0009493670886076444
8,-0.0012730744748568057,0.002673456397199181,0.005346912794398406,-0.0011457670273711251,-0.0006365372374284694,-0.0007638446849140834,-0.0007638446849141056,0.004455760661998686,-0.002418841502227953,0.0,-0.0025461489497136114
9,0.0013071895424836555,-0.0008714596949891184,0.0,0.002178649237472752,0.0017429193899782369,0.0,0.0,0.0074074074074073955,-0.0004357298474945592,-0.0013071895424836776,0.0
10,0.0,0.0017094017094017033,-0.0012820512820512775,0.0,0.0017094017094017033,0.0,0.0,0.009829059829059794,-0.00042735042735042583,0.0,0.0
11,0.0,-0.00045819014891177454,-0.001145475372279492,0.0013745704467354124,-0.00022909507445589838,-0.001832760595647187,0.0,0.010538373424971437,0.0,-0.0032073310423825774,0.0027491408934708474
12,4.4408920985006264e-17,-0.0034401876465988356,-0.006724003127443279,-0.0015637216575449032,-0.0006254886630179479,0.007818608287724826,0.0,0.012197028928850707,-0.00015637216575445923,-0.002189210320562873,-0.0003127443315089851
13,0.0,-0.0055921052631578315,-0.006249999999999955,0.002138157894736881,-0.0008223684210525439,0.0,0.0,0.028618421052631637,-0.0008223684210525662,-0.010526315789473628,0.0
14,0.006994535519125655,0.005901639344262288,-0.0015300546448087538,0.0017486338797813917,0.003060109289617441,-0.0010928961748634114,0.0,0.01967213114754096,0.004808743169398899,0.0026229508196721207,0.0
