,la,fix,nuc,lt,age,ld,ns,sexp,nd,ndev,entrophy,exp
0,-5.673758865247791e-05,0.0,0.0007943262411348017,0.0,0.0003971631205674342,0.0,-0.0005673758865247791,0.0003404255319149563,0.0012482269503546251,0.0,0.0004539007092199121,-0.00011347517730495583
1,0.0005020920502092352,0.0002510460251046398,0.0009205020920502127,0.00016736401673642654,0.0004184100418410441,0.0,0.0009205020920502127,0.00041841004184106634,0.0013389121338912347,8.368200836821327e-05,0.00158995815899583,0.00016736401673642654
2,-0.0005884516366310377,-0.0005148951820521663,-0.0013975726369988672,6.661338147750939e-17,-0.0018389113644722288,-7.355645457887138e-05,-0.0013240161824199736,-7.355645457884918e-05,-0.0014711290915777608,-0.00014711290915774277,0.0007355645457889359,-0.00022066936373661418
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.00019187719859288245,0.00012791813239525495,-0.00012791813239529937,0.0,-4.4408920985006264e-17,0.0,0.0012791813239526606,0.00019187719859286022,0.001471058522545543,0.0,0.0006395906619763192,0.00012791813239525495
5,0.002752654345261529,0.0005505308690523014,0.00023594180102244345,0.0005505308690523236,0.0,0.0,0.0007078254030672415,0.0003932363350373835,-7.864726700745894e-05,0.00031458906802992457,0.00023594180102244345,0.00023594180102244345
6,-0.0020876826722338038,-0.00027835768963120345,-0.00041753653444680515,-0.0019485038274182464,-0.0005567153792624069,-0.0013917884481559062,-0.00013917884481560173,0.0006958942240779198,-0.0005567153792624069,-0.0005567153792624069,0.0,-0.0009742519137091677
7,0.0,0.0,0.0,-0.00024110910186856405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024110910186863065
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,-0.00012139605462824221,0.0,0.0,0.0,0.0,-0.0004855842185129022,0.0,0.00145675265553864,0.0002427921092564178,0.0002427921092563956,0.0
10,0.0,-5.3951982735367386e-05,0.0,0.0,0.0,0.0,0.0014567035338549194,0.0,0.0028055031022390375,5.3951982735367386e-05,5.3951982735367386e-05,-0.00016185594820610215
